"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Fantastic Four: Rise of the Silver Surfer",120000,131921.7,157559,"PG for sequences of action violence, some mild language and innuendo","91 minutes","Fantastic Four","Comic/Graphic Novel","Action","Live Action","Super Hero","20th Century Fox, Constance Marks Productions, Marvel Studios, 1492 Pictures, Bernd Eichinger","United States","English","20th Century Fox",2007
"Fantastic Fungi",NA,1573.7,98.5,"Not Rated","81 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Moving Art","United States","English","Area 23a",2019
"Fantastic Mr. Fox",40000,21002.9,26015.8,"PG For action, smoking and slang humor","88 minutes",NA,"Fiction Book/Short Story","Adventure","Stop-Motion Animation","Kids Fiction","American Empirical, 20th Century Fox, Regency Enterprises","United States","English","20th Century Fox",2009
"Far From the Tree",NA,166,NA,"Not Rated","93 minutes",NA,"Factual Book/Article","Documentary","Live Action","Factual",NA,"United States","English","Sundance Selects",2018
"Far Too Far",NA,15.001,NA,"Not Rated","117 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Time and Tide Productions, Inc.","United States","English","Time and Tide Productions, Inc.",2015
"Fast & Furious",85000,155064.3,208000,"PG-13 for intense sequences of violence and action, some sexual content, language and drug references","107 minutes","Fast and the Furious","Factual Book/Article","Action","Live Action","Contemporary Fiction","Universal Pictures","United States","English","Universal",2009
"Fast & Furious Presents: Hobbs & Shaw",200000,179610.1,585808.2,"PG-13 for prolonged sequences of action and violence, suggestive material and some strong language","134 minutes","Fast and the Furious","Spin-Off","Action","Live Action","Contemporary Fiction","Seven Bucks Productions, Chris Morgan Productions, Universal Pictures","United States","English","Universal",2019
"Fast Color",NA,76.916,NA,"PG-13 for a scene of violence and brief strong language","100 minutes",NA,"Original Screenplay","Thriller","Live Action","Science Fiction","LD Entertainment, Original Headquarters, Lionsgate, Codeblack Films","United States","English","Lionsgate",2019
"Fast Five",125000,210031.3,420132.1,"PG-13 for intense sequences of violence and action, sexual content and language","130 minutes","Fast and the Furious","Factual Book/Article","Action","Live Action","Contemporary Fiction","Universal Pictures, Original Film, One Race Films","United States","English","Universal",2011
"Fast Food Nation",NA,1005.5,NA,"R for disturbing images, strong sexuality, language and drug content.",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Participant Media","United States","English","Fox Searchlight",2006
"Fast and Furious 6",160000,245179.85,550620.6,"PG-13 for intense sequences of violence and action and mayhem throughout, some sexuality and language","130 minutes","Fast and the Furious","Factual Book/Article","Action","Live Action","Contemporary Fiction","Universal Pictures, Relativity Media, Original Film, One Race Films","United States","English","Universal",2013
"Faster",24000,23240.02,12552.9,"R for strong violence, some drug use and language","98 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","CBS Films, Tri-Star Pictures, Castle Rock Entertainment, State Street Pictures","United States","English","CBS Films",2010
"Fat Albert",45000,48114.6,449,"PG for momentary language.","97 minutes",NA,"TV","Comedy","Live Action","Contemporary Fiction","Davis Entertainment","United States","English","20th Century Fox",2004
"Father Figures",25000,17501.244,3537.2,"R for language and sexual references throughout","113 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Alcon Entertainment, Montecito Picture Company, DMG Entertainment","United States","English","Warner Bros.",2017
"Fed Up",NA,1538.9,7.3,"PG for thematic elements including smoking images, and brief mild language","92 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Atlas Films, Artemis Rising Foundation, Diamond Docs","United States","English","RADiUS-TWC",2014
"Feel the Noise",NA,5867.8,556.2,"PG-13 for sensuality and innuendos, violence, some drug use and language.","93 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures",2007
"Fences",24000,57682.904,6600,"PG-13 for thematic elements, language and some suggestive references","133 minutes",NA,"Play","Drama","Live Action","Historical Fiction","Paramount Pictures, Bron Creative, Macro Media, Scott Rudin Productions","United States","English","Paramount Pictures",2016
"Ferdinand",111000,84410.4,205428.5,"PG for rude humor, action and some thematic elements","107 minutes",NA,"Fiction Book/Short Story","Adventure","Digital Animation","Kids Fiction","Blue Sky Studios, 20th Century Fox Animation, Davis Entertainment","United States","English","20th Century Fox",2017
"Fever Pitch",40000,42071.1,8000,"PG-13 for crude and sexual humor, and some sensuality",NA,NA,"Remake","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",2005
"Fiddler: A Miracle of Miracles",NA,549.4,24.1,"PG-13 for some thematic elements/disturbing images","92 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Dog Green Productions","United States","English","Roadside Attractions",2019
"Fifty Shades Darker",55000,120154.01,266933,"R for strong erotic sexual content, some graphic nudity, and language","118 minutes","Fifty Shades of Grey","Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Universal Pictures, Perfect World Pictures, Michael De Luca Productions","United States","English","Universal",2017
"Fifty Shades Freed",55000,106007.76,271577.3,"R for strong sexual content, nudity, and language","120 minutes","Fifty Shades of Grey","Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Michael De Luca Productions, Universal Pictures, Perfect World Pictures","United States","English","Universal",2018
"Fifty Shades of Black",5000,11961.94,10426.1,"R for strong crude sexual content including some graphic nudity, and for language 
throughout","93 minutes",NA,"Movie","Comedy","Live Action","Contemporary Fiction","IM Global, Open Road Films, Baby Way","United States","English","Open Road",2016
"Fifty Shades of Grey",40000,174767.23,404830.9,"R for strong sexual content including dialogue, some unusual behavior and graphic nudity, and for language","125 minutes","Fifty Shades of Grey","Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Focus Features, Michael De Luca Productions, Trigger Street Productions","United States","English","Universal",2015
"Fight Club",65000,37030.1,63790.8,"R for disturbing and graphic depiction of violent anit-social behavior, sexuality and language","139 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Regency Enterprises, Fox 2000 Pictures, Linson Films","United States","English","20th Century Fox",1999
"Fighting",25000,23091.01,9740.7,"PG-13 for intense fight sequences, some sexuality and brief strong language.","84 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","Rogue Pictures, Misher Films","United States","English","Universal",2009
"Filly Brown",1250,2850.4,90.1,"R for language, some drug use and violence","101 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Lionsgate","United States","English","Lionsgate",2013
"Filmworker",NA,102.6,10.2,"Not Rated","94 minutes",NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Kino Lorber",2018
"Final Destination",23000,53302.3,58734.6,"R for violence and terror, and for language",NA,"Final Destination","Original Screenplay","Horror","Live Action","Fantasy",NA,"United States","English","New Line",2000
"Final Destination 2",26000,46896.7,43500,"R for strong violent/gruesome accidents, language, drug content and some nudity.","90 minutes","Final Destination","Original Screenplay","Horror","Live Action","Fantasy",NA,"United States","English","New Line",2003
"Final Destination 3",25000,54098.1,58700,"R for strong horror violence/gore, language and some nudity",NA,"Final Destination","Original Screenplay","Horror","Live Action","Fantasy",NA,"United States","English","New Line",2006
"Final Destination 5",40000,42587.643,112423.5,"R for strong violent/gruesome accidents, and some language","95 minutes","Final Destination","Original Screenplay","Horror","Live Action","Fantasy","New Line Cinema, Practical Pictures, Zide Pictures","United States","English","Warner Bros.",2011
"Final Fantasy: The Spirits Within",137000,32131.8,53000,"PG-13 for sci-fi action violence.","106 minutes",NA,"Game","Adventure","Digital Animation","Science Fiction",NA,"United States","English","Sony Pictures",2001
"Final: The Rapture",NA,124.6,NA,"PG-13 for elements of violence","90 minutes",NA,"Religious Text","Thriller","Live Action","Fantasy","River Rain Films","United States","English","Riverrain",2013
"Finding Dory",200000,495495.561,538710.6,"PG for mild thematic elements","103 minutes","Finding Nemo","Original Screenplay","Adventure","Digital Animation","Kids Fiction","Disney-Pixar","United States","English","Walt Disney",2016
"Finding Forrester",43000,51768.6,28245,"PG-13 for brief strong language and some sexual references.","137 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Columbia Pictures","United States","English","Sony Pictures",2000
"Finding Nemo",94000,380529.4,555565.5,"G 2012 Re-Screening(Rating bulletin 2223 (Cert #39772), 5/16/2012)","100 minutes","Finding Nemo","Original Screenplay","Adventure","Digital Animation","Kids Fiction","Disney-Pixar, Walt Disney Pictures","United States","English","Walt Disney",2003
"Fired Up",20000,17231.3,1377.3,"PG-13 for crude and sexual content throughout, partial nudity, language and some teen partying.","91 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Screen Gems, Moving Pictures    , AMG, Gross Entertainment, Charles Weinstock","United States","English","Sony Pictures",2009
"Firehouse Dog",NA,13932.4,3165.9,"PG for sequences of action peril, some mild crude humor and language.","111 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Regency Enterprises, New Regency","United States","English","20th Century Fox",2007
"Fireproof",500,33456.3,17,"PG for thematic material and some peril.","122 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Affirm Films, Samuel Goldwyn Films, Sherwood Pictures, Provident Films, Carmel Entertainment","United States","English","Samuel Goldwyn Films",2008
"Firewall",50000,48751.2,34000,"PG-13 for some intense sequences of violence, and for some language","105 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Village Roadshow Productions, Beacon Pictures, Jon Shestack, Thunder Road Film, Warner Bros.","United States","English","Warner Bros.",2006
"First Man",60000,46036.545,60766.8,"PG-13 for some thematic content involving peril, and brief strong language","141 minutes",NA,"Factual Book/Article","Drama","Live Action","Dramatization","DreamWorks Pictures, Temple Hill Entertainment, Universal Pictures, Perfect World Pictures","United States","English","Universal",2018
"First Reformed",3500,3448.3,540.4,"R for some disturbing violent images","108 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Killer Films, Arclight Films, Omeira Studio Partners, Fibonacci Films, Big Indie Pictures","United States","English","A24",2018
"First Sunday",NA,37931.9,878.7,"PG-13 for language, some sexual humor, and brief drug references.","96 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Screen Gems, Cube Vision, Story Company, Firm Films","United States","English","Sony Pictures",2008
"Fist Fight",25000,32787.017,8099.4,"R for language throughout, sexual content/nudity and drug material","91 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","New Line Cinema, Village Roadshow Productions, RatPac Entertainment, Dune Entertainment, 21 Laps Entertainment, Wrigley Pictures","United States","English","Warner Bros.",2017
"Five Feet Apart",7000,45729.221,45783.9,"PG-13 for thematic elements, language and suggestive material","116 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","CBS Films, Welle Entertainment, Wayfare Entertainment","United States","English","Lionsgate",2019
